Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
CP31 - Verify Change password - Password must be between 4 and 20 characters,N7-27,10279,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,Nguyen Thanh Loc,6299601fb407cc006900f3f4,06/Jan/23 3:40 PM,06/Jan/23 3:43 PM,17/Mar/23 8:52 PM,,,0,ChangePassword,Password must be between 4 and 20 characters,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,,,,,,,,,,,,"alert ""Password must be between 4 and 20 characters """,,,,,,,,,,BAN-5,Change Password,,,"alert ""Password must be between 4 and 20 characters """,,,,,0|i001jj:,,,,,,,,,,Unit,"b1: Enter 123 from Old Password
b2: Enter 123 from New Password
b2: Enter submit form",,Pass,,,To Do
EA24 - Verify Address - First character can not have space,N7-26,10278,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:40 PM,06/Jan/23 3:44 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-28,,N7-25,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Verify Address - First character can not have space,,,,,0|i001jb:,,,,,,,,,,Unit,1.Submit,,Pass,,,To Do
EA23 - Verify Address - Address Field must not be blank,N7-25,10277,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:38 PM,06/Jan/23 3:42 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-26,,N7-21,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Address - First character can not have space,,,,,0|i001j3:,,,,,,,,,,Unit,"1. Enter a pace
2.Submit",,Pass,,,To Do
CP30 - Verify Change password - New Password must not be blank,N7-24,10276,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,Nguyen Thanh Loc,6299601fb407cc006900f3f4,06/Jan/23 3:37 PM,06/Jan/23 3:43 PM,17/Mar/23 8:52 PM,,,0,ChangePassword,New Password must not be blank,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,,,,,,,,,,,,"alert ""New Password must not be blank """,,,,,,,,,,BAN-5,Change Password,,,"alert ""New Password must not be blank """,,,,,0|i001iv:,,,,,,,,,,Unit,"b1: Enter 123 from Old Password
b2: Enter submit form",,Pass,,,To Do
EA22 - VerifyCustomer Name - First character cannot have space,N7-23,10275,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:37 PM,06/Jan/23 3:42 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,,,N7-21,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Special characters are not allowed,,,,,0|i001in:,,,,,,,,,,Unit,"1. Enter !@#$
2. Submit",,Fail,,,To Do
CP29 - Verify Change password - Old Password must not be blank,N7-22,10274,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,Nguyen Thanh Loc,6299601fb407cc006900f3f4,06/Jan/23 3:36 PM,06/Jan/23 3:40 PM,17/Mar/23 8:52 PM,,,0,ChangePassword,Old Password must not be blank,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,,,,,,,,,,,,"alert ""Old Password must not be blank """,,,,,,,,,,BAN-5,Change Password,,,"alert ""Old Password must not be blank """,,,,,0|i001if:,,N7 Sprint 1,,,,,,,,Unit,Enter submit form,,Pass,,,To Do
EA21 - Verify Customer Name -  Customer name must not be blank,N7-21,10273,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:34 PM,06/Jan/23 3:38 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-23,N7-25,N7-20,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,First character cannot have space,,,,,0|i001i7:,,,,,,,,,,Unit,"1. Enter a pace
2. Submit",,Pass,,,To Do
EA20 - Verify Customer Name – Special characters are not allowed,N7-20,10271,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:32 PM,06/Jan/23 3:35 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-21,,N7-19,Show error,,,,,,,,,,BAN-8,Edit Account,,,Customer name must not be blank,,,,,0|i001hr:,,,,,,,,,,Unit,1. Submit,,Pass,,,To Do
EA19 - Verify Customer Name – Numbers are not allowed,N7-19,10270,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:30 PM,06/Jan/23 3:32 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-20,,N7-18,Error-free display,,,,,,,,,,BAN-8,Edit Account,,, Numbers are not allowed,,,,,0|i001hj:,,,,,,,,,,Unit,"1. Enter 1234565
2. Submit",,Fail,,,To Do
EA18 - Verify Customer Name – Name must be between 1 and 32 characters,N7-18,10269,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:28 PM,06/Jan/23 3:32 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-19,,,Show no error message,,,,,,,,,,BAN-8,Edit Account,,, Name must be between 1 and 32 characters,,,,,0|i001hb:,,N7 Sprint 1,,,,,,,,Unit,"1. Enter characters 1 to 32 characters
2. Submit",,Pass,,,To Do
NA17- Verify Customer password confim – Confirm the password must match the password,N7-17,10267,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:13 PM,06/Jan/23 3:19 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,,,N7-16,Display without error,,,,,,,,,,BAN-7,New Account,,,Verify Customer password confim – Confirm the password must match the password,,,,,0|i001gv:,,,,,,,,,,Unit,"1. Enter 123456
2. Enter 123456
3. Submit",,Pass,,,To Do
NA16- Verify Customer password – Password must be between 4 and 20 characters,N7-16,10266,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:10 PM,06/Jan/23 3:19 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-17,,N7-15,Display without error,,,,,,,,,,BAN-7,New Account,,,Verify Customer password – Password must be between 4 and 20 characters,,,,,0|i001gn:,,,,,,,,,,Unit,"1.Enter full 4 to 20 characters
2.Submit",,Pass,,,To Do
NA15- Verify Customer password – Password must not be blank,N7-15,10265,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:06 PM,06/Jan/23 3:19 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-16,,N7-14,Displays an error that requires password input,,,,,,,,,,BAN-7,New Account,,,Customer password – Password must not be blank,,,,,0|i001gf:,,,,,,,,,,Unit,1.Submit,,Pass,,,To Do
NA14- Verify Address - Special characters are not allowed,N7-14,10264,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:05 PM,06/Jan/23 3:18 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-15,,N7-13,Display without error,,,,,,,,,,BAN-7,New Account,,,Special characters are not allowed,,,,,0|i001g7:,,,,,,,,,,Unit,"1. Enter !@#
2. Submit",,Fail,,,To Do
NA13- Verify Address - First character can not have space,N7-13,10263,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:03 PM,06/Jan/23 3:05 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-14,,N7-12,Display without error,,,,,,,,,,BAN-7,New Account,,,First character can not have space,,,,,0|i001fz:,,,,,,,,,,Unit,"1. Enter a space
2. Submit",,Fail,,,To Do
NA12- Verify Address - Address Field must not be blank,N7-12,10262,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:01 PM,06/Jan/23 3:03 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-13,,N7-11,Show error,,,,,,,,,,BAN-7,New Account,,,Address Field must not be blank,,,,,0|i001fr:,,,,,,,,,,Unit,"1. Enter a space
2. Submit",,Pass,,,To Do
NA11 - Verify Email - First character can not have space,N7-11,10261,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:58 PM,06/Jan/23 3:01 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-12,,N7-10,Error-free display,,,,,,,,,,BAN-7,New Account,,,First character can not have space,,,,,0|i001fj:,,,,,,,,,,Unit,"1. Enter a space
2. Submit",,Fail,,,To Do
NA10 - Verify Email - Email ID is not valid,N7-10,10260,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:54 PM,06/Jan/23 2:58 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-11,,N7-9,Show error,,,,,,,,,,BAN-7,New Account,,,Show invalid id,,,,,0|i001fb:,,,,,,,,,,Unit,"1. Enter n7#.com
2. Submit",,Pass,,,To Do
NA09 - Verify Email - Email ID must not be blank,N7-9,10259,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:52 PM,06/Jan/23 2:54 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-10,,N7-8,Display does not allow spaces Email,,,,,,,,,,BAN-7,New Account,,,Show Email cannot be blank,,,,,0|i001f3:,,,,,,,,,,Unit,"1. Enter a space
2. Submit",,Pass,,,To Do
NA08 - Verify Telephone Number - First character can not have space,N7-8,10258,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:50 PM,06/Jan/23 2:52 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-9,,N7-7,First character can not have space,,,,,,,,,,BAN-7,New Account,,,First character can not have space,,,,,0|i001ev:,,,,,,,,,,Unit,"1. Enter a space
2. Submit",,Pass,,,To Do
NA07 - Verify Telephone  Number  – Special character are not allowed,N7-7,10257,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:45 PM,06/Jan/23 2:50 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-8,,N7-6,Special character are not allowed,,,,,,,,,,BAN-7,New Account,,,Entering special characters will give an error,,,,,0|i001en:,,,,,,,,,,Unit,"1. Enter the character !@#
2. Submit",,Pass,,,To Do
NA06 - Verify Telephone Number – Phone must be between 3 and 32 characters,N7-6,10256,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:41 PM,06/Jan/23 2:46 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-7,,N7-5,Error-free display,,,,,,,,,,BAN-7,New Account,,,"Entering 1 character or more than 32 characters will give an error
Entering 3 to 32 characters with no error",,,,,0|i001ef:,,,,,,,,,,Unit,"1. Enter 1 character
2.Submit",,Pass,,,To Do
NA05 - Verify Customer Name - First character cannot have space,N7-5,10255,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:34 PM,06/Jan/23 2:41 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,,,,,,,,,,,N7-6,,N7-4,Error-free display,,,,,,,,,,BAN-7,New Account,,,Show error,,,,,0|i001e7:,,,,,,,,,,Unit,"1. Enter to leave the first space blank
2. Submit",,Fail,,,To Do
NA04 - Verify Customer Name - Customer name must not be blank,N7-4,10254,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:28 PM,06/Jan/23 4:39 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-5,,N7-3,Enter full 1 - 32 characters will display successfully,,,,,,,,,,BAN-7,New Account,,,Items with a red asterisk cannot be left blank & must be filled in completely and accurately,,,,,0|i001dz:,,N7 Sprint 1,,,,,,,,Unit,"1. Enter is blank
2. Submit
Show error",,Pass,,,To Do
NA03 - Verify Customer Name - Special characters are not allowed,N7-3,10253,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:25 PM,06/Jan/23 4:05 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-4,,N7-2,Enter the error-free display,,,,,,,,,,BAN-7,New Account,,,Entering special characters may or may not give an error,,,,,0|i001dr:,,N7 Sprint 1,,,,,,,,Unit,"1. Enter #@!
2. Submit
Error-free display
Or
1. Enter !@#
Display will not give error",,Fail,,,To Do
NA02 - Verify Customer Name - Numbers are not allowed,N7-2,10252,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:23 PM,06/Jan/23 4:05 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-3,,N7-1,Enter the correct characters Displays no errors,,,,,,,,,,BAN-7,New Account,,,Entering more than 32 characters shows an error or entering the correct character will not give an error,,,,,0|i001dj:,,N7 Sprint 1,,,,,,,,Unit,"1. Enter 123456
2. Submit
Error-free display
Or
1. Enter more than 32 characters
2. Submit
Display will not give error",,Skip,,,To Do
NA01 - Verify Customer Name - Customer Name – Name must be between 1 and 32 characters,N7-1,10251,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 2:22 PM,06/Jan/23 2:24 PM,16/Mar/23 8:42 AM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-2,,,Enter the correct characters Displays no errors,,,,,,,,,,BAN-7,New Account,,,Entering more than 32 characters shows an error or entering the correct character will not give an error,,,,,0|i001db:,,N7 Sprint 1,,,,,,,,Unit,"1. Enter 123456
2. Submit
Error-free display
Or
1. Enter more than 32 characters
2. Submit
Display will not give error",,Pass,,,To Do
